City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,32.16,80,100,8.05,overcast clouds
1,Upernavik,GL,72.7868,-56.1549,-2.72,93,87,2.8,overcast clouds
2,Dzerzhinsk,RU,56.2389,43.4631,39.02,52,0,4.47,clear sky
3,Cabo San Lucas,MX,22.8909,-109.9124,85.6,37,0,3.44,clear sky
4,Busselton,AU,-33.65,115.3333,56.03,81,0,12.15,clear sky
5,Rindal,NO,63.0565,9.2124,41.36,65,100,8.5,overcast clouds
6,Filingue,NE,14.3521,3.3168,92.05,11,100,6.58,overcast clouds
7,Hermanus,ZA,-34.4187,19.2345,70.81,88,100,8.66,light rain
8,Hamilton,US,39.1834,-84.5333,69.73,76,40,28.77,heavy intensity rain
9,Cody,US,44.5263,-109.0565,57.25,29,0,4.61,clear sky
10,Kapaa,US,22.0752,-159.319,74.19,86,100,17.27,moderate rain
11,Waipawa,NZ,-41.4122,175.5153,59.16,98,100,5.46,moderate rain
12,Mataura,NZ,-46.1927,168.8643,53.53,97,100,6.51,light rain
13,Albany,US,42.6001,-73.9662,46.58,38,100,1.99,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,48.31,40,0,11.5,clear sky
15,Ushuaia,AR,-54.8,-68.3,47.86,46,75,10.36,broken clouds
16,Katsuura,JP,35.1333,140.3,45.34,94,100,16.11,light rain
17,Campos Altos,BR,-19.6961,-46.1714,70.47,74,100,5.68,overcast clouds
18,Camacha,PT,33.0833,-16.3333,60.22,59,40,20.71,scattered clouds
19,Jumla,NP,29.2747,82.1838,44.78,53,0,5.14,clear sky
20,Santa Rosa,PH,14.3122,121.1114,83.08,83,37,6.64,scattered clouds
21,Castro,BR,-24.7911,-50.0119,73.8,69,100,8.39,overcast clouds
22,Asfi,MA,32.2994,-9.2372,58.23,65,0,14.67,clear sky
23,Berlevag,NO,70.8578,29.0864,28.35,74,75,17.27,broken clouds
24,Norman Wells,CA,65.282,-126.8329,-0.36,71,75,11.5,broken clouds
25,Port Alfred,ZA,-33.5906,26.891,74.16,72,100,6.24,overcast clouds
26,Avarua,CK,-21.2078,-159.775,78.85,94,40,3.44,scattered clouds
27,La Libertad,EC,-2.2333,-80.9,83.86,70,0,8.05,clear sky
28,Vaini,TO,-21.2,-175.2,73.56,100,100,1.14,overcast clouds
29,Tambura,SS,5.6,27.4667,78.28,51,87,2.98,overcast clouds
30,Verkhnyaya Inta,RU,65.9811,60.3094,18.59,90,100,20.49,light snow
31,Alyangula,AU,-13.8483,136.4192,73.27,94,60,0.0,broken clouds
32,Kudahuvadhoo,MV,2.6708,72.8944,82.9,66,43,13.6,scattered clouds
33,Keller,US,32.9346,-97.2517,62.01,26,20,20.71,few clouds
34,Maragogi,BR,-9.0122,-35.2225,81.46,76,63,10.54,moderate rain
35,San Patricio,US,28.017,-97.5169,71.69,22,0,7.56,clear sky
36,Ribeira Grande,PT,38.5167,-28.7,63.0,72,75,6.91,broken clouds
37,Alofi,NU,-19.0595,-169.9187,75.09,94,100,1.14,overcast clouds
38,Vanimo,PG,-2.6741,141.3028,77.54,86,96,2.01,overcast clouds
39,Bethel,US,41.3712,-73.414,48.18,40,0,3.44,clear sky
40,Starotimoshkino,RU,53.7191,47.5312,34.45,87,100,8.23,overcast clouds
41,Marsh Harbour,BS,26.5412,-77.0636,77.36,74,32,18.52,scattered clouds
42,Yellowknife,CA,62.456,-114.3525,13.41,86,100,9.22,light snow
43,Tukrah,LY,32.5341,20.5791,50.77,69,5,7.83,clear sky
44,Tura,IN,25.5198,90.2201,75.31,48,11,2.95,few clouds
45,Gumdag,TM,39.2061,54.5906,45.61,55,7,3.04,clear sky
46,Cherskiy,RU,68.75,161.3,0.57,100,97,1.77,overcast clouds
47,Chuy,UY,-33.6971,-53.4616,79.16,64,100,12.39,overcast clouds
48,Tasiilaq,GL,65.6145,-37.6368,26.76,82,100,2.71,overcast clouds
49,Rikitea,PF,-23.1203,-134.9692,79.65,71,35,16.04,scattered clouds
50,Hasaki,JP,35.7333,140.8333,36.0,88,100,21.32,overcast clouds
51,Kavieng,PG,-2.5744,150.7967,81.16,78,100,7.38,overcast clouds
52,Akyab,MM,20.15,92.9,77.34,82,46,4.94,scattered clouds
53,Nazilli,TR,37.9163,28.3223,40.86,76,10,6.17,clear sky
54,Nikolskoye,RU,59.7035,30.7861,32.81,98,23,2.73,few clouds
55,Pevek,RU,69.7008,170.3133,13.6,83,100,9.48,overcast clouds
56,New Norfolk,AU,-42.7826,147.0587,54.9,63,35,4.0,scattered clouds
57,Dingle,PH,10.9995,122.6711,76.44,81,7,5.88,clear sky
58,Poum,NC,-20.2333,164.0167,78.64,78,100,6.24,overcast clouds
59,Bulancak,TR,40.9372,38.2291,42.62,81,75,3.44,broken clouds
60,Barrow,US,71.2906,-156.7887,-14.78,76,0,14.97,clear sky
61,Acapulco,MX,16.8634,-99.8901,84.02,61,0,6.91,clear sky
62,Maceio,BR,-9.6658,-35.7353,80.04,89,75,5.75,broken clouds
63,Hobart,AU,-42.8794,147.3294,55.26,75,75,8.05,broken clouds
64,Touros,BR,-5.1989,-35.4608,84.72,67,100,13.56,overcast clouds
65,Mackenzie,CA,55.2999,-123.1698,41.22,48,20,10.36,few clouds
66,Ostrovnoy,RU,68.0531,39.5131,24.13,95,100,8.41,snow
67,Destin,US,30.3935,-86.4958,76.77,74,100,12.66,overcast clouds
68,Narsaq,GL,60.9167,-46.05,34.02,70,100,2.15,overcast clouds
69,Bredasdorp,ZA,-34.5322,20.0403,68.88,84,63,6.15,broken clouds
70,Longyearbyen,SJ,78.2186,15.6401,-0.56,60,20,9.22,few clouds
71,Liverpool,GB,53.4106,-2.9779,60.3,52,0,6.91,clear sky
72,Moyale,KE,3.5167,39.0584,78.49,45,80,5.1,broken clouds
73,Inirida,CO,3.8653,-67.9239,90.97,52,80,0.98,broken clouds
74,Suda,RU,59.1525,37.5582,28.51,97,24,3.36,few clouds
75,Damghan,IR,36.1683,54.348,46.02,56,4,3.06,clear sky
76,Tessalit,ML,20.1986,1.0114,80.85,6,1,11.05,clear sky
77,Khatanga,RU,71.9667,102.5,4.12,97,100,4.61,light snow
78,Saint-Philippe,RE,-21.3585,55.7679,80.19,86,50,12.15,scattered clouds
79,Tomari,RU,47.7658,142.0683,30.27,81,100,7.54,overcast clouds
80,Nemuro,JP,43.3236,145.575,31.8,90,100,5.66,overcast clouds
81,Severo-Yeniseyskiy,RU,60.3725,93.0408,2.41,98,94,3.53,overcast clouds
82,Chabahar,IR,25.2919,60.643,76.66,67,0,11.18,clear sky
83,San Cristobal,VE,7.7669,-72.225,80.78,35,32,6.91,scattered clouds
84,Trimbak,IN,19.9333,73.55,76.8,22,67,3.51,broken clouds
85,Dikson,RU,73.5069,80.5464,6.04,92,100,9.6,overcast clouds
86,Yarmouth,US,41.7057,-70.2286,46.96,57,0,9.22,clear sky
87,Danville,US,36.586,-79.395,62.44,96,100,5.99,overcast clouds
88,Derzhavinsk,KZ,51.1,66.3167,18.97,98,76,13.24,broken clouds
89,Qaanaaq,GL,77.484,-69.3632,-3.98,91,100,7.29,overcast clouds
90,Severo-Kurilsk,RU,50.6789,156.125,26.49,74,26,10.29,scattered clouds
91,Avinurme,EE,58.9822,26.8642,28.18,96,33,3.87,scattered clouds
92,Sangmelima,CM,2.9333,11.9833,77.25,69,73,3.76,broken clouds
93,Saint-Ambroise,CA,48.5501,-71.3324,37.94,44,37,4.61,scattered clouds
94,Guerrero Negro,MX,27.9769,-114.0611,80.37,21,0,7.36,clear sky
95,Aranos,NA,-24.1333,19.1167,76.87,39,37,5.46,light rain
96,Saskylakh,RU,71.9167,114.0833,-8.97,99,98,5.44,overcast clouds
97,Codrington,AU,-38.2667,141.9667,58.03,60,100,4.94,overcast clouds
98,Wanaka,NZ,-44.7,169.15,56.59,91,100,5.46,moderate rain
99,Xaxim,BR,-26.9617,-52.5347,64.78,99,100,1.9,moderate rain
100,Victoria,HK,22.2855,114.1577,63.95,91,100,5.01,overcast clouds
101,Kieta,PG,-6.2167,155.6333,77.16,85,55,1.41,light rain
102,Atuona,PF,-9.8,-139.0333,78.8,81,86,16.46,light rain
